Sentence,entities,extracted_keywords
This business loan facility encourages the local community to expand their business by using our financial services SSE customers who hold current accounts with local commercial banks can apply for this small business loan,"[[""business loan"", ""PRODUCT"", 5, 18]]","['business loan', 'loan facility', 'commercial banks', 'small business loan']"
Yalu Savings account with gift package ,"[[""Yalu Savings"", ""PRODUCT"", 0, 12]]","['Yalu Savings', 'Savings account', 'gift package']"
Ushan Hapuarachchi AGM HOD Business Transformation Digital Implementation,"[[""Ushan Hapuarachchi"", ""PERSON"", 0, 18]]","['Business Transformation', 'Digital']"
loan scheme designed to financially assist Diriya customers in case of emergency financial requirements,"[[""Diriya"", ""PRODUCT"", 43, 49]]","['loan scheme', 'loan', 'Diriya']"
HNB FINANCE strengthens Puttalam Branch service offering with relocation to new premises Backed by over years of experience in providing superior financial and banking services to all Sri Lankans ,"[[""HNB"", ""ORG"", 0, 3], [""Puttalam Branch"", ""GPE"", 24, 39]]","['HNB FINANCE', 'Financial Services','Banking Services', 'Puttalam Branch']"
Relax Personal Loans loan for your personal necessities Focusing on providing fast financial solution especially for salaried employees to meet their numerous personal financial needs ,"[[""Relax Personal Loans"",""PRODUCT"",0,20]]","['Personal Loans', 'Loans', 'Relax Personal Loans']"
Our Fixed Deposits offer you the perfect balance between highinterest rates stability and trustworthiness Interest rates will be provided based on the tenure of the Fixed Deposit starting from month to up to months ,"[[""Fixed Deposit"", ""PRODUCT"", 165, 178]]","['Fixed Deposit', 'FD']"
Sri Lanka leading integrated financial service provider HNB Finance established water purification system,"[[""Sri Lanka"", ""GPE"", 0, 9], [""HNB Finance"", ""ORG"", 56, 67]]","['water purification', 'HNB Finance']"
Eligibility Customers until the age of years are eligible to apply for the Saviya Loan scheme ,"[[""the Saviya Loan"", ""PRODUCT"", 71, 86]]","['Loan scheme', 'Saviya Loan']"
HNB Finance the general savings account catering to the masses has also organized considerable share of the market ,"[[""HNB Finance"", ""ORG"", 0, 11]]","['HNB Finance', 'savings account', 'general savings', 'general savings account']"
Leading integrated financial services provider HNB FINANCE PLC recently ran giveaway campaign through its Yalu minor savings scheme to commemorate Children Day ,"[[""HNB FINANCE PLC"", ""ORG"", 47, 62], [""Yalu minor savings scheme "", ""PRODUCT"", 106, 131]]","['HNB FINANCE', 'giveaway campaign','savings scheme','Yalu minor savings scheme']"
Micro loan facilities that encourage community and business growth with HNB FINANCE,"[[""Micro loan"", ""PRODUCT"", 0, 10], [""HNB FINANCE"", ""ORG"", 72, 83]]","['Micro loan', 'loan facilities', 'HNB FINANCE', 'loan']"
HNB FINANCE Gold Loan service offers customers the highest gold advance the best possible interest rates and the most efficient service ,"[[""HNB FINANCE Gold Loan"", ""PRODUCT"", 0, 21]]","['Gold Loan', 'HNB FINANCE', 'Loan service']"
Grow your business with our specialised SSE Loans and SME Loans ,"[[""SSE"", ""PRODUCT"", 40, 43], [""SME"", ""PRODUCT"", 54, 57]]","['SME Loans', 'SSE Loans', 'Loans']"
Leading integrated financial services provider HNB FINANCE PLC is introducing its Threewheel Leasing Waasi Wisthare special leasing campaign with host of benefits for customer,"[[""HNB FINANCE PLC"", ""ORG"", 47, 62], [""Threewheel Leasing"", ""PRODUCT"", 82, 100], [""Waasi Wisthare"", ""PRODUCT"", 101, 115]]","['HNB FINANCE', 'Leasing Waasi', ' Threewheel Leasing Waasi Wisthare', 'Threewheel Leasing', 'leasing campaign']"
In world of working for others there are those who take that brave step of working for themselves of starting their own business We at HNB FINANCE understand and support your dreams as you pursue your passion,"[[""HNB FINANCE"", ""ORG"", 135, 146]]",['HNB FINANCE']
HNB FINANCE PLC appointed Saliya Jayaweera as an Independent NonExecutive Director to its board,"[[""HNB FINANCE PLC"", ""ORG"", 0, 15], [""Saliya Jayaweera"", ""PERSON"", 26, 42]]","['HNB FINANCE', 'HNB FINANCE PLC']"
Everything you need to know about Supply Chain Financing Supply chain finance is essentially the process of financing the production and distribution of goods and services with the help of third party Also known as reverse factoring it enables companies to pay their suppliers early through cash advance It can help companies scale and compete internationally as it allows to lower transaction costs for industry participants,"[[""Supply Chain Financing"", ""PRODUCT"", 34, 56]]","['Supply Chain', 'Financing']"
However traditional personal loan has quite few protocols and may take several years to pay it Microloans on the other hand are similar instruments but have shorter repayment period and do not have many strict protocols,"[[""personal loan"",""PRODUCT"",20,33], [""Microloans"", ""PRODUCT"", 95, 105]]","['personal loan', 'Microloans', 'loan']"
HNB FINANCE extends Gold Loan facility to Padaviya branch Sri Lanka leading integrated financial services provider HNB FINANCE,"[[""HNB"", ""ORG"", 0, 3], [""Gold Loan"", ""ORG"", 20, 29], [""Padaviya"", ""GPE"", 42, 50], [""Sri Lanka"", ""GPE"", 58, 67], [""HNB"", ""ORG"", 115, 118]]","['HNB FINANCE', 'Gold Loan', 'Loan facility']"
General Leasing HNB Finance Sri Lanka premier finance company provides unmatched leasing facilities for your needs from motorbike to the most sophisticated modern vehicle,"[[""General Leasing"", ""PRODUCT"", 0, 15],[""HNB Finance"",""ORG"",16,27], [""Sri Lanka"", ""GPE"", 28, 37]]","['HNB Finance', 'leasing facilities', 'General Leasing', 'Leasing']"
HNB Finance fully supports community growth and with the Diriya Divisaru and Sahana microloan facilities we intend to encourage business growth as well ,"[[""HNB Finance"", ""ORG"", 0, 11], [""Diriya Divisaru"", ""PRODUCT"", 57, 72], [""Sahana microloan"", ""PRODUCT"", 77, 93]]","['HNB Finance', 'Diriya Divisaru','Sahana microloan']"
Key features Ability to apply for gold loans starting from Under this gold loan scheme gold loans can be obtained without prior notice Gold loan instalments can be paid through any HNBF branch or through eZ Cash mCash ,"[[""HNBF"", ""ORG"", 181, 185]]","['gold loans', 'gold loan', 'loan scheme', 'loans', 'HNBF']"
HNBF Privilege card ATM card Customer relationship officer Doorstep service Interest calculated on daily balance and credited monthly Withdraw anytime ,"[[""HNBF Privilege card"",""PRODUCT"",0,19],[""ATM card"", ""PRODUCT"", 20, 28]]","['Privilege card', 'ATM card','HNBF','HNBF Privilege card']"
HNB Finance PLC Strength Born of Strength HNB Finance is subsidiary of Hatton National Bank PLC and continues to operate with an unblemished record of almost two decades as leader in the finance industry with diverse portfolio of financial products and services,"[[""HNB Finance PLC"", ""ORG"", 0, 15], [""HNB Finance"", ""ORG"", 42, 53], [""Hatton National Bank PLC"", ""ORG"", 71, 95]]","['HNB Finance PLC', 'HNB', 'HNB Finance']"
Sri Lanka leading integrated financial services provider HNB FINANCE PLC commemorated International Women Day under the theme Invest in Women Accelerate Progress with,"[[""Sri Lanka"", ""GPE"", 0, 9], [""HNB FINANCE PLC"", ""ORG"", 57, 72]]","['Women Day', 'HNB FINANCE']"
At HNB Finance we believe in fostering community development through tailored financial solutions Our Cooperative Society Loans offer flexible terms and competitive rates designed to help societies meet their financial and infrastructure needs ,"[[""HNB Finance"", ""ORG"", 3, 14]]","['Society Loans', 'community development', 'Cooperative Society', 'HNB Finance']"
Cooperative Society Loans,"[[""Cooperative Society Loans"",""PRODUCT"",0,25]]","['Society Loans', 'Cooperative Society', 'Loans']"
HNB FINANCE provides relief to Nawalapitiya flood victims Responding to the critical needs of the people affected by severe floods in the Nawalapitiya region HNB FINANCE PLC Nawalapitiya Branch spearheaded an expedited campaign on Augu,"[[""HNB FINANCE"", ""ORG"", 0, 11], [""Nawalapitiya"", ""GPE"", 31, 43], [""HNB FINANCE PLC"", ""ORG"", 158, 173], [""Nawalapitiya Branch"", ""GPE"", 174, 193]]","['HNB FINANCE', 'HNB', 'Nawalapitiya flood']"
HNB Finance is subsidiary of Hatton National Bank PLC and continues to operate with an unblemished record of almost two decades as leader in the finance industry with diverse portfolio of financial products and services Products to Help You Grow Shaping your future with products that encourage growth,"[[""HNB Finance"", ""ORG"", 0, 11], [""Hatton National Bank PLC"", ""ORG"", 29, 53]]","['HNB Finance', 'HNB', 'Hatton National Bank PLC']"
HNB FINANCE Yalu Children Savings Account can be opened by parent or Legal guardian of child below the age of year,"[[""HNB FINANCE Yalu Children Savings Account"", ""PRODUCT"", 0, 41]]","['Children Savings', 'Yalu Children Savings Account', 'HNB FINANCE']"
Our General Saving Account is designed to cater all your general savings requirements Save your money with HNB Finance to reap the benefits of highest interest rates in the market,"[[""General Saving Account"", ""PRODUCT"", 4, 26], [""HNB Finance"", ""ORG"", 107, 118]]","['Saving Account', 'general savings', 'HNB Finance']"
Saviya SME Loan facility assists entrepreneurs and businessmen to develop their business through quick financial solutions to expand or upgrade their business with minimum hassle,"[[""Saviya SME Loan"", ""PRODUCT"", 0, 15]]","['Saviya SME Loan', 'Loan facility', 'entrepreneurs']"
Indunil Jayawardena is well experienced professional with over years experience in Commercial Banking Development Banking in Branch Operations Retail SME Credit Retail Banking Audit Finance,"[[""Indunil Jayawardena"", ""PERSON"", 0, 19]]","['Banking Development', 'Banking Audit', 'Development Banking', 'Commercial Banking', 'Banking']"
HNB FINANCE celebrates Children Day with exciting giveaway campaign Leading integrated financial services provider HNB FINANCE PLC recently ran giveaway campaign through its Yalu minor savings scheme to commemorate Children Day,"[[""HNB FINANCE"", ""ORG"", 0, 11],[""HNB FINANCE PLC"", ""ORG"", 115, 130], [""Yalu minor savings scheme"", ""PRODUCT"", 174, 199]]","['HNB FINANCE', 'Children Day', 'HNB', 'Yalu minor savings scheme']"
Personal loans are useful facilities that are ideal to finance several things Whether it is for an emergency medical bill expensive purchase or education the types of loans personal loans today are wide and varied ,"[[""Personal loans"",""PRODUCT"",0,14]]","['Personal loans', 'loans']"
HNB FINANCE introduces Auto Loan facility for motor vehicle purchases,"[[""HNB FINANCE"", ""ORG"", 0, 11],[""Auto Loan"",""PRODUCT"",23,32]]","['Auto Loan', 'HNB FINANCE', 'Loan facility', 'Loan']"
Diriya Loan Scheme set the foundation for my business ,"[[""Diriya Loan Scheme "",""PRODUCT"",0,18]]","['Loan Scheme', 'Diriya Loan']"
HNBF Privilege card,"[[""HNBF Privilege card"",""PRODUCT"",0,19]]","['Privilege card', 'HNBF Privilege card', 'HNBF']"
HNB FINANCE bags Gold and Silver at Awards Sri Lanka premier integrated financial service provider HNB FINANCE bagged the Gold Award for the Best Website in the Banking and Finance category at the BestW ,"[[""HNB FINANCE"", ""ORG"", 0, 11], [""Sri Lanka"", ""GPE"", 43, 52], [""HNB FINANCE"", ""ORG"", 99, 110]]","['HNB FINANCE', 'Gold Award']"
Fixed deposits or FDs are one of the safest and easiest investment options available The investor opens an FD account and deposits money In return the commercial institution is bound to pay fixed amount of interest at the end of the agreement period You can open fixed deposit account either at bank or at NonBanking Financial Institution like HNB Finance,"[[""Fixed deposits"",""PRODUCT"",0,14],[""FD"", ""PRODUCT"", 107, 109], [""NonBanking Financial Institution"", ""ORG"", 306, 338]]","['deposit', 'FDs','deposits money', 'Fixed deposits']"
HNB FINANCE unveils new Gold Loan Unit at Kilinochchi branch,"[[""HNB FINANCE"", ""ORG"", 0, 11], [""Gold Loan"", ""PRODUCT"", 24, 33], [""Kilinochchi"", ""GPE"", 42, 53]]","['Gold Loan', 'HNB FINANCE', 'Loan', 'HNB']"
Nivahana Housing Loans,"[[""Nivahana Housing Loans"", ""PRODUCT"", 0, 22]]","['Nivahana Housing Loans', 'Loans', 'Nivahana']"
He was the founder CEO of LOLC Micro Credit Ltd in which later merged with LOLC Finance PLC LOFC in He continued as Executive Deputy Chairman CEO of the merged entity ,"[[""LOLC Micro Credit Ltd"", ""ORG"", 26, 47], [""LOLC Finance PLC"", ""ORG"", 75, 91]]","['LOLC Finance', 'LOLC Micro Credit']"
Arusha Dewalage AGM HOD Product Business Management Micro Leasing ,"[[""Arusha Dewalage"",""PERSON"",0,15]]","['Micro Leasing', 'Business Management']"
General Leasing  made simple HNB Finance Sri Lanka premier finance company provides unmatched leasing facilities to fulfil your dream of owning vehicle or upgrading your existing vehicle ,"[[""General Leasing"",""PRODUCT"",0,15],[""HNB"", ""ORG"", 29, 32], [""Sri Lanka"", ""GPE"", 41, 50]]","['leasing facilities', 'General Leasing', 'Leasing']"
HNB FINANCE extends Gold Loan facility to Padaviya branch,"[[""HNB FINANCE"", ""ORG"", 0, 11], [""Gold Loan"", ""PRODUCT"", 20, 29], [""Padaviya"", ""GPE"", 42, 50]]","['HNB FINANCE', 'Loan facility', 'Gold Loan', 'Loan']"
Mohomed business of selling ceramic accessories was able to reach new heights thanks to the Easy Loans scheme by HNB FINANCE,"[[""Easy Loans scheme"",""PRODUCT"",92,109],[""HNB"", ""ORG"", 113, 116]]","['Easy Loans scheme', 'HNB Finance']"
Personal loans are useful facilities that are ideal to finance several things Whether it is for an emergency medical bill expensive purchase or education,"[[""Personal loans"",""PRODUCT"",0,14]]","['Personal loans', 'loans']"
KFD Cooperative Lending,"[[""Cooperative Lending"", ""PRODUCT"", 4, 23]]","['Cooperative Lending','KFD']"
Micro Loans Financial inclusivity for all HNB Finance fully supports community growth and with the Diriya Divisaru and Sahana microloan facilities we intend to encourage business growth ,"[[""Micro Loans"", ""PRODUCT"", 0, 11], [""HNB Finance"", ""ORG"", 42, 53], [""Diriya Divisaru"", ""PRODUCT"", 99, 114], [""Sahana microloan"", ""PRODUCT"", 119, 135]]","['Micro Loans', 'HNB Finance', 'community growth', 'microloan facilities', 'Sahana microloan', 'Diriya Divisaru']"
The Nivahana Housing Loan by HNB Finance makes this type of loan all the more enticing as it provides flexible options to build or purchase your dream home when compared to other financial institutions in Sri Lanka,"[[""The Nivahana Housing Loan"", ""PRODUCT"", 0, 25], [""HNB Finance"", ""ORG"", 29, 40], [""Sri Lanka"", ""GPE"", 205, 214]]","['Housing Loan', 'Nivahana Housing', 'Loan']"
Lakshman is wellseasoned professional in the Nonbanking Financial sector and counts for over years of experience at Edirisinghe Trust Investments as an Assistant General Manager,"[[""Lakshman"", ""PERSON"", 0, 8],[""Edirisinghe Trust Investments"", ""ORG"", 116, 145]]",['Nonbanking Financial sector']
HNB FINANCE PLC one of Sri Lanka leading finance companies has presented the winner of the company first Vesak digital program Methbara Kathandara with exclusive prizes,"[[""HNB FINANCE PLC"", ""ORG"", 0, 15], [""Sri Lanka"", ""GPE"", 23, 32]]","['HNB FINANCE', 'HNB']"
Loans Financial assistance to achieve your goals HNB FINANCE offers you the perfect personal business housing and microloans that suit your needs and requirements,"[[""HNB"", ""ORG"", 49, 52], [""microloans"", ""PRODUCT"", 114, 124]]","['HNB FINANCE', 'Loans','housing loans', 'personal loans', 'business loans','microloans']"
HNB Finance Sri Lanka premier finance company provides unmatched leasing facilities to fulfil your dream of owning vehicle or upgrading your existing vehicle,"[[""HNB"", ""ORG"", 0, 3], [""Sri Lanka"", ""GPE"", 12, 21]]","['HNB Finance', 'leasing facilities']"
Eligibility Sri Lankan citizens above years of age are eligible for this gold loan scheme,"[[""gold loan scheme"", ""PRODUCT"", 73, 89]]",['gold loan scheme']
The Gold Plan provides people with the opportunity to buy gold jewelry of their choice by paying in instalments ,"[[""Gold Plan"",""PRODUCT"",4,13]]",['Gold Plan']
Unduly influence customers or the general public to buy or get involved in LFC products services,"[[""LFC"", ""ORG"", 75, 78]]","['LFC','Licensed Finance Companies']"
Flexible Payment Plans Loan up to of the land value InterestFree schemes ,"[[""InterestFree schemes"",""PRODUCT"",52,72]]",['InterestFree schemes']
Premalal previously served as Deputy Chairman NonIndependent NonExecutive Director of HNB FINANCE until before retiring in terms of Finance Companies Corporate Governance Direction of Central Bank of Sri Lanka after completing years on the Board,"[[""Premalal"", ""PERSON"", 0, 8], [""HNB FINANCE"", ""ORG"", 86, 97], [""Central Bank of Sri Lanka"", ""ORG"", 184, 209]]","['HNB FINANCE', 'Central Bank of Sri Lanka']"
Our keen focus on entrepreneurs across the country enables us to boost SME SSE communities to reach their full potential,"[[""SME"", ""ORG"", 71, 74], [""SSE"", ""ORG"", 75, 78]]","['entrepreneurs', 'SME','SSE']"
HNB FINANCE amongst top Great Places to Work in Asia ,"[[""HNB FINANCE"", ""ORG"", 0, 11], [""Asia"", ""GPE"", 48, 52]]","['HNB FINANCE','HNB']"
Safeguarding the interest of our customers and maintaining healthy relationship are our priorities with Customer Protection Framework,"[[""Customer Protection Framework"", ""PRODUCT"", 104, 133]]",['Customer Protection Framework']
Moreover attractive gifts and surprises await all Gold Loan customers as we have established unique gift scheme solely for individuals using the facility,"[[""Gold Loan"", ""PRODUCT"", 50, 59]]","['gift scheme', 'Gold Loan']"
HNB FINANCE celebrates World Children Day under stringent health guidelines,"[[""HNB FINANCE"", ""ORG"", 0, 11]]","['HNB FINANCE', 'World Children Day']"
Spearheading innovative customercentric financial services Sri Lanka leading integrated financial services provider HNB FINANCE PLC offers the best Auto Loan,"[[""Sri Lanka"", ""GPE"", 59, 68], [""HNB FINANCE PLC"", ""ORG"", 116, 131],[""Auto Loan"",""PRODUCT"",148,157]]","['HNB FINANCE', 'Auto Loan','Loan', 'financial services']"
HNB Finance creates an oasis in Mohoththuwarama Primary School Sri Lanka leading integrated financial service provider HNB Finance established water purification system ,"[[""HNB Finance"", ""ORG"", 0, 11], [""Mohoththuwarama Primary School"", ""ORG"", 32, 62], [""Sri Lanka"", ""GPE"", 63, 72], [""HNB Finance"", ""ORG"", 119, 130]]","['HNB Finance', 'water purification', 'HNB', 'Mohoththuwarama Primary School']"
The Yalu Children Savings Account was initiated to encourage the habit of saving amongst children HNB Finance rewards kids who save regularly with various valuable gift items ,"[[""Yalu Children Savings Account"", ""PRODUCT"", 4, 33], [""HNB Finance"", ""ORG"", 98, 109]]","['Yalu Children Savings Account', 'Savings Account', 'HNB Finance']"
General Leasing HNB Finance Sri Lanka premier finance company provides unmatched leasing facilities for your needs ,"[[""General Leasing"", ""PRODUCT"", 0, 15], [""Sri Lanka"", ""GPE"", 28, 37]]","['HNB', 'leasing facilities', 'General Leasing']"
Normal Senior Citizen savings account to be maintained and In Yalu Savings account and in Miyulasi Savings account,"[[""Normal Senior Citizen savings account"",""PRODUCT"",0,37],[""Yalu Savings"", ""PRODUCT"", 62, 74], [""Miyulasi Savings"", ""PRODUCT"", 90, 106]]","['Normal Senior Citizen savings account', 'Yalu Savings', 'Citizen savings', 'Miyulasi Savings']"
This gold loan scheme can be used to meet our customers future needs such as weddings other special occasions and for gold savings ,"[[""gold loan scheme"",""PRODUCT"",5,21]]","['gold loan scheme', 'gold savings', 'loan']"
Diriya loan designed to economically support disadvantaged female entrepreneurs whose access to financial services is limited due to their lack of resources or social distinction ,"[[""Diriya loan"",""PRODUCT"",0,11]]","['disadvantaged female', 'Diriya loan', 'female entrepreneurs']"
HNB FINANCE Gold Loan service offers customers the best possible interest rates with attractive benefits and the most efficient service,"[[""HNB Finance"",""ORG"",0,11],[""Gold Loan"", ""PRODUCT"", 12, 21]]","['Gold Loan', 'Loan service', 'HNB FINANCE']"
HNB FINANCE reinforces service offering to Anuradhapura with relocation to selfowned premises,"[[""HNB FINANCE"", ""ORG"", 0, 11], [""Anuradhapura"", ""GPE"", 43, 55]]","['HNB FINANCE', 'HNB']"
Yalu Children Savings saving scheme specifically designed to instil the habit of saving among children It has grown to become one of the most attractive savings concepts in the country,"[[""Yalu Children Savings"", ""PRODUCT"", 0, 21]]","['Children Savings', 'saving scheme', 'Yalu Chidren Savings']"
Prabath joined HNB FINANCE in and during his tenure with the organization he gained wealth of experience in the core areas of operations ,"[[""Prabath"",""PERSON"",0,7],[""HNB FINANCE"", ""ORG"", 15, 26]]","['HNB', 'HNB FINANCE']"
Nivahana Housing Loans is suited for those who need financial assistance to purchase construct or improve their house or property,"[[""Nivahana Housing Loans"", ""PRODUCT"", 0, 22]]","['Nivahana Housing Loans', 'Housing Loans']"
Our Products As leader in providing integrated financial services we offer range of exceptional financial services which include Small and Medium Enterprise Loans as well as leasing gold loans housing loans personal loans real estate property loans remittances and savings and fixed deposit facilities ,"[[""Small and Medium Enterprise Loans"", ""PRODUCT"", 129, 162],[""gold loans"", ""PRODUCT"", 182, 192],[""housing loans"", ""PRODUCT"", 193, 206],[""personal loans"", ""PRODUCT"", 207, 221],[""real estate property loans"", ""PRODUCT"", 222, 248],[""remittances"", ""PRODUCT"", 249, 260],[""savings and fixed deposit facilities"", ""SERVICE"", 265, 301]]","['personal loans','Small and Medium Enterprise Loans','SME Loans','real estate property loans','financial services','housing loans','loans personal','gold loans']"
Miyulasi Women Savings is savings scheme designed to encourage the valuable habit of saving among our female customers ,"[[""Miyulasi Women Savings"", ""PRODUCT"", 0, 22]]",['Miyulasi Women Savings']
Sri Lanka leading integrated financial services provider HNB FINANCE PLC proudly announced the launch of its newly relocated branch in Wattala,"[[""Sri Lanka"", ""GPE"", 0, 9], [""HNB FINANCE PLC"", ""ORG"", 57, 72], [""Wattala"", ""GPE"", 135, 142]]","['HNB FINANCE', 'HNB']"
HNB Finance is subsidiary of Hatton National Bank PLC and continues to operate with an unblemished record of almost two decades as leader in the finance industry with diverse portfolio of financial products and services,"[[""HNB Finance"", ""ORG"", 0, 11], [""Hatton National Bank PLC"", ""ORG"", 29, 53]]","['HNB Finance', 'HNB Bank PLC', 'finance industry']"
Residents of Sri Lanka over years of age are eligible to apply for the General Savings Account,"[[""Sri Lanka"", ""GPE"", 13, 22], [""General Savings Account"", ""PRODUCT"", 71, 94]]","['Savings Account', 'General Savings']"
Dedunu Kumari started her business under the Diriya loan scheme as there were only few businesses that supplied event equipment in the JaEla area ,"[[""Dedunu Kumari"", ""PERSON"", 0, 13], [""Diriya loan scheme"", ""PRODUCT"", 45, 63], [""JaEla"", ""GPE"", 135, 140]]",['Diriya loan scheme']
Convenient cash deposits withdrawals fund transfers through islandwide branch network hours access to your account through HNB ATM card ,"[[""HNB"", ""ORG"", 123, 126], [""ATM card"", ""PRODUCT"", 127, 135]]","['cash deposits', 'withdrawals', 'HNB ATM card', 'fund transfers']"
By choosing to open General Savings Account with HNB FINANCE you are equipped with the right tools to emerge from potential recession,"[[""General Savings Account"", ""PRODUCT"", 20, 43], [""HNB"", ""ORG"", 49, 52]]","['Savings Account', 'General Savings', 'HNB FINANCE']"
HNB FINANCE PLC one of Sri Lanka leading finance companies relocated its Ambalangoda branch ,"[[""HNB FINANCE PLC"", ""ORG"", 0, 15], [""Sri Lanka"", ""GPE"", 23, 32], [""Ambalangoda"", ""GPE"", 73, 84]]",['HNB FINANCE PLC']
Isuru Minors Savings Plan,"[[""Isuru Minors Savings Plan"", ""PRODUCT"", 0, 25]]",['Isuru Minors Savings Plan']
If you are Micro Entrepreneur involved in any livelihood activity you can open Divisaru Savings Account as an individual account Joint account sole proprietorship or partnership account,"[[""Micro Entrepreneur"", ""PERSON"", 11, 29], [""Divisaru Savings Account"", ""PRODUCT"", 79, 103]]","['individual account', 'partnership account', 'Account', 'Savings Account', 'Divisaru Savings Account']"
Deposits Savings Accounts Get the value for your savings Current Accounts Carry out your business transactions with highly recognized Current Account in Sri lanka ,"[[""Deposits Savings Accounts"", ""PRODUCT"", 0, 25], [""Sri lanka"", ""GPE"", 153, 162]]","['Savings Accounts', 'Current Accounts','Deposits Savings']"
Now indulge yourself in an array of lifestyle offers and host of other personalized financial solutions whilst travelling the world with your UnionPay Credit Cards ,"[[""UnionPay Credit Cards"", ""PRODUCT"", 142, 163]]","['UnionPay Credit Cards', 'Credit Cards', 'financial solutions']"
Business Foreign Currency Account could be opened at any of Commercial Bank branches in Savings Current or Term Deposits in any designated foreign currency submitting the required documents,"[[""Business Foreign Currency Account"", ""PRODUCT"", 0, 33], [""Commercial Bank"", ""ORG"", 60, 75]]","['Currency Account', 'Foreign Currency', 'Commercial Bank', 'Term Deposits']"
Commercial Bank of Maldives subsidiary of Commercial Bank of Ceylon and joint venture with Tree Top Investments Maldives formally inaugurated its banking operations in the Maldives Sri Lanka,"[[""Commercial Bank of Maldives"", ""ORG"", 0, 27], [""Commercial Bank of Ceylon"", ""ORG"", 42, 67]]","['Commercial Bank of Maldives','Commercial Bank of Ceylon', 'banking operations']"
MoneyGram is global leader in worldwide money transfer services working closely with specially chosen agents in locations across countries,"[[""MoneyGram"", ""ORG"", 0, 9]]","['MoneyGram', 'worldwide money transfer services']"
Visa Infinite Card With Visa Infinite you will have access to the highest level of personal service and an extraordinary selection of benefits,"[[""Visa Infinite Card"", ""PRODUCT"", 0, 18],[""Visa"", ""PRODUCT"",24,28]]","['Visa Infinite Card', 'Visa']"
Our Home Loans provide the means by which you could build purchase or renovate the house or apartment you always hoped you own,"[[""Home Loans"",""PRODUCT"",4,14]]","['Home Loans', 'Loans']"
